"DeletionTimestamp","ObjectId","ObjectType","AccountEnabled","AddIns","AlternativeNames","AppDisplayName","AppId","AppOwnerTenantId","AppRoleAssignmentRequired","AppRoles","DisplayName","ErrorUrl","Homepage","KeyCredentials","LogoutUrl","Oauth2Permissions","PasswordCredentials","PreferredTokenSigningKeyThumbprint","PublisherName","ReplyUrls","SamlMetadataUrl","ServicePrincipalNames","ServicePrincipalType","Tags"
,"0bc79583-8e3c-4306-8e3c-99b0b5d52164","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Microsoft Photos","0ec2d138-5a70-4a33-b2c7-7d296c996ace","72f988bf-86f1-41af-91ab-2d7cd011db47","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Microsoft Photos",,"https://www.microsoft.com/windows/photo-movie-editor","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Microsoft","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"12707b36-f3a9-4b57-bba1-197356810750","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","calendly","c2f89f53-3971-4e09-8656-18eed74aee10","401c5c97-0746-4778-ad09-f3d50b55d410","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","calendly",,"https://calendly.com/users/auth/azure_oauth2","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Calendly","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"12eaee52-1f9f-4f50-838f-c5a7465d9ab8","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Meraki Dashboard - 5Q Partners","2c2dae2d-bc59-460f-8877-510c571acb29","f1a966c9-8958-4e13-bc44-f54c47cdbf9a","True","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Meraki Dashboard - 5Q Partners",,"https://n27.meraki.com/saml/login/*?metadata=merakidashboard|ISV9.2|primary|z","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]","CAD36DDD4C78D4D48D9F05FE4D7AB7582ADD7238","5Q Cloud","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"233eaafd-62e3-4c9b-aac6-df734a236f5f","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","IT Glue","39f5579d-026b-4fcd-9d56-a12df46d8a22","f1a966c9-8958-4e13-bc44-f54c47cdbf9a","True","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","IT Glue",,"https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]","https://5q.itglue.com","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]","5D54EBB45901E353358A5A3549256B8414D42477","5Q Cloud","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"397443a0-7c06-4cc2-9df6-bd6fad1ccdd9","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Wrike","ded71add-2b48-4342-803a-448b721230b5","74a2d60d-fd7b-4838-af8a-2dc4c5f36ee6","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Wrike",,"https://www.wrike.com/sso/azure","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Wrike Office 365 Production Directory","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"410f4124-f9cb-4d38-ba94-d817263433c0","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Tasks Teams Bot","f4e50fc1-63d1-422c-9a45-17b0fe615b9c","72162faa-c4d3-4ed6-89bd-a37642170063","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Tasks Teams Bot",,"https://awara-it.com","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Awara IT Solutions LLC","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"49dc18b6-0f5f-492d-a591-9b54cee96938","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Polly","228f3e22-92b5-4c6d-91e8-9dcc1757ad36","9eab1974-31cc-4aa8-8ba7-c8943c73f995","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Polly",,"https://www.polly.ai/microsoft-teams","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Polly","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"5148eabe-8f21-4a91-bae3-593c8d93e5b0","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Outlook Calendar for Slack","74c10fbb-017f-4f00-ba68-9d3804d8ad09","9188040d-6c67-4c5b-b112-36a304b66dad","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Outlook Calendar for Slack",,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Microsoft Accounts","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"5573202c-5470-49e8-a572-96c75dae5479","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Calendly","751ff9b5-edde-4dc1-8093-adf647495745","401c5c97-0746-4778-ad09-f3d50b55d410","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Calendly",,"https://calendly.com","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Calendly","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
,"639a81f0-e76e-4c50-8f49-97572d02c833","ServicePrincipal","true","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AddIn]","System.Collections.Generic.List`1[System.String]","Amazon Alexa Connect","65ad87c3-6b07-40fa-93e6-e2a734bf2e9f","c5839f4b-5c0a-4f15-ada2-b21b6646f6dc","False","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.AppRole]","Amazon Alexa Connect",,,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.KeyCredential]",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.OAuth2Permission]","System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.PasswordCredential]",,"Amazon","System.Collections.Generic.List`1[System.String]",,"System.Collections.Generic.List`1[System.String]","Application","System.Collections.Generic.List`1[System.String]"
